Year,URL
2008,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2008
2009,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2009
2010,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2010
2011,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2011
2012,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2012
2013,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2013
2014,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2014
2015,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2015
2016,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2016
2017,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2017
2018,https://www.qnb.com/sites/qnb/qnbglobal/document/en/enAnnualReport2018
2019,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2019
2020,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2020
2021,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2021
2022,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2022
2023,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2023
2024,https://www.qnb.com/sites/qnb/qnbqatar/document/en/enAnnualReport2024